ssr_target_pct,bo_tac_eur,hyb_tac_eur,tac_delta_eur,tac_saving_pct,bo_bess_kwh,hyb_bess_kwh,hyb_ely_kw,hyb_fc_kw,hyb_tank_kg,hyb_h2_installed
65,2090.531456831236,2090.531457971292,-1.1400561561458744e-06,-5.453427416365872e-08,36.09158373569206,36.09158373569243,0.0,0.0,0.0,False
66,2177.893619809017,2177.8936209490653,-1.1400484254409091e-06,-5.234637794388149e-08,39.895832054176566,39.895832054176616,0.0,0.0,0.0,False
67,2277.801081646454,2277.801082786498,-1.1400438779674005e-06,-5.005019477571533e-08,43.91887905221815,43.91887905221802,0.0,0.0,0.0,False
68,2394.972287624349,2394.9722887644057,-1.1400566108932253e-06,-4.76020794388433e-08,48.29810259338359,48.29810259338392,0.0,0.0,0.0,False
69,2532.5212335625383,2532.5212347025936,-1.1400552466511726e-06,-4.5016611570416674e-08,53.07564194252635,53.0756419425266,0.0,0.0,0.0,False
70,2693.544362767685,2693.544363907748,-1.1400634321034886e-06,-4.2325771495073686e-08,58.36412380658801,58.36412380658853,0.0,0.0,0.0,False
71,2882.9398765746173,2882.939877714671,-1.14005388240912e-06,-3.9544837257018415e-08,63.971810941643646,63.97181094164384,0.0,0.0,0.0,False
72,3133.7969899244977,3133.796991064569,-1.1400711628084537e-06,-3.637986654763879e-08,70.73540624051367,70.73540624051434,0.0,0.0,0.0,False
73,3462.013207754827,3460.949603064033,1.0636046907934542,0.0307221442255334,79.52148881174114,77.18323876271786,0.3263406771174719,0.1123287067675894,0.2813681521406978,True
74,3863.841634465761,3826.306540874627,37.53509359113423,0.9714449281854188,89.92389119737106,80.91224935470619,1.2074819604652551,0.3999469594456207,1.0195224869281558,True
75,4341.725604054992,4226.494473608297,115.2311304466948,2.6540399130491736,101.80576382655128,82.1941190898081,2.605803750034011,0.8078497897405839,2.231873240673069,True
76,4936.221376289903,4672.306604562298,263.9147717276046,5.3464938382882,116.32626388084137,83.41318955815815,4.100425605176911,1.3110671051675395,3.888862692028003,True
77,5664.052586932644,5161.2317689347,502.8208179979438,8.877403771956246,133.98138947300876,85.50471090494148,5.884648555140622,1.5707613357031047,5.82084435091814,True
78,6528.739801375231,5704.9933232770345,823.7464780981963,12.61723553333647,154.4965946258039,91.31823649379976,7.206065999808995,1.922159407504313,7.163289278996604,True
79,7500.129981692555,6312.392886211933,1187.737095480622,15.83622015058178,177.15565424993792,95.19840271854363,8.767855329999996,2.679263488279468,9.386808096415612,True
80,8686.659380755726,6994.059160613826,1692.6002201418996,19.485053412957075,204.4585495311842,104.13975511825129,9.940739668792274,3.26,10.909378973394764,True
81,9951.61466048339,7741.513857309732,2210.1008031736583,22.208464440948365,233.2708078805645,110.20601535736463,11.628657211781814,3.2781931957125785,15.47978719117326,True
82,11297.809694480971,8589.001520313719,2708.808174167254,23.97640115579676,263.6579010265051,124.0023967425178,12.92860918429114,3.1562373461644486,17.383253032279743,True
83,12958.792078206208,9583.6086185695,3375.18345963671,26.045509791865666,300.6888281119939,142.2951354896123,13.829857583116722,3.66,17.890581277712116,True
84,15039.04605215157,10748.4255569836,4290.62049516797,28.529871378072748,346.3689077254777,163.55570231483736,14.333182770821145,4.091515871517078,20.212676530434816,True
85,17464.51984657778,12086.668212766444,5377.851633811335,30.79301166625053,399.0525731680981,179.86626375246254,16.674910303652872,4.788682703684127,23.81070736797987,True
86,20332.181059042417,13794.553515542611,6537.627543499804,32.15408875474428,460.8968947918531,228.0381219082805,14.437839438892183,3.5502136540119564,25.27777479184073,True
87,24403.42073772132,15803.094093175205,8600.326644546112,35.242299581600264,548.0932478316146,236.1512497564947,13.74867364780925,3.391772460689865,59.56013979963345,True
88,31971.060524579025,17843.557791822182,14127.502732756842,44.188408207152726,709.0534070209861,236.58285540287176,13.752003826484255,3.383658050312864,98.14278221620842,True
89,42456.87066496765,19906.41188065057,22550.45878431708,53.11380332824221,931.4306505826954,240.0480898217673,13.675341963845716,3.32,134.54510749768875,True
90,64633.50029457149,21990.56292657677,42642.93736799472,65.97652482636201,1400.8344471754608,244.9463687252191,13.658823397121546,3.232988689844437,169.66439559519915,True
91,104827.08448397576,24093.59501626977,80733.48946770598,77.01586843240612,2251.648550873774,244.9463687252193,13.658823397121548,3.566773597148317,208.0280449988564,True
92,145284.7413287167,26210.127656607045,119074.61367210964,81.95947666843772,3108.078746972333,242.8872889074284,13.803630817375003,3.828094649603092,247.8150438768897,True
93,185880.5716267869,28338.894661275117,157541.67696551178,84.75424601223291,3967.4503050408334,240.01610494523277,14.005550499675,3.995655600694581,288.2737865103938,True
94,226672.80799850373,30485.93808016081,196186.8699183429,86.55068583243471,4831.167143403244,232.64149070009583,14.571872729999995,4.4260346335668,331.1099530297001,True
95,267743.4532974378,32669.88026914672,235073.57302829108,87.79806569804208,5700.741515266834,230.5637741230273,14.936579165924996,4.5472891997444185,370.7470404912092,True
96,309023.6930847026,34971.66509339152,274052.02799131104,88.68317676735359,6575.391746344306,226.3038896437404,17.06585194125,5.182883637701143,409.6077330275296,True
97,350508.1534916246,37444.32138741251,313063.8321042121,89.31713256470445,7454.028118118695,219.8214485702933,19.921331088100008,6.289394718056382,450.91908826432615,True
98,392225.2008536581,40088.846600671655,352136.3542529865,89.77912522871546,8337.774671110687,248.0539282898304,20.7541021863,7.217797261790813,472.951382502117,True
99,434458.9088204763,42931.67342445923,391527.2353960171,90.11835813402573,9232.01915706842,254.99758790645456,23.8924945678445,8.16,509.9589104069997,True
100,478926.643466726,46821.98119521473,432104.6622715112,90.2235589032399,10172.11685493821,267.4992853800076,26.829518815066542,17.394426198036463,540.297428187916,True
