scenario_id,scenario_suite,scenario_group,pv_year,demand_year,price_year,ssr_target,ssr_target_pct,mip_gap_used,grid_to_bess_charging_allowed,bo_tac_eur,bo_bess_kwh,bo_achieved_ssr,bo_solver_status,bo_solve_elapsed_s,bo_best_bound_eur,bo_achieved_relative_gap,hyb_tac_eur,hyb_bess_kwh,hyb_ely_kw,hyb_fc_kw,hyb_tank_kg,hyb_h2_installed,hyb_achieved_ssr,hyb_solver_status,hyb_solve_elapsed_s,hyb_best_bound_eur,hyb_achieved_relative_gap,tac_delta_eur,tac_saving_pct
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.51,51,0.0001,False,1712.589402811576,6.20265857863445,0.5520355146535564,optimal,8.37583041191101,1712.5894028115745,0.0,1712.589402811576,6.20265857863445,0.0,0.0,0.0,False,0.5520355146535564,optimal,15.321476697921751,1712.5894028115545,1.168340958209577e-14,0.0,0.0
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.52,52,0.0001,False,1712.589402811576,6.20265857863445,0.5520355146535564,optimal,8.398508548736572,1712.5894028115745,0.0,1712.5894028115758,6.202658578634448,0.0,0.0,0.0,False,0.5520355146535564,optimal,14.131768703460692,1712.5894028115545,1.1816175600074127e-14,2.273736754432321e-13,1.327660179783609e-14
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.53,53,0.0001,False,1712.589402811576,6.20265857863445,0.5520355146535564,optimal,8.413346529006958,1712.5894028115745,0.0,1712.5894028115758,6.202658578634449,0.0,0.0,0.0,False,0.5520355146535564,optimal,14.929759740829468,1712.5894028115545,1.168340958209577e-14,2.273736754432321e-13,1.327660179783609e-14
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.54,54,0.0001,False,1712.589402811576,6.20265857863445,0.5520355146535564,optimal,8.401169538497925,1712.5894028115745,0.0,1712.5894028115758,6.202658578634449,0.0,0.0,0.0,False,0.5520355146535564,optimal,13.952364444732666,1712.5894028115545,1.168340958209577e-14,2.273736754432321e-13,1.327660179783609e-14
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.55,55,0.0001,False,1712.589402811576,6.20265857863445,0.5520355146535564,optimal,8.668827772140503,1712.5894028115745,0.0,1712.5894028115758,6.202658578634449,0.0,0.0,0.0,False,0.5520355146535564,optimal,14.558022022247314,1712.5894028115545,1.168340958209577e-14,2.273736754432321e-13,1.327660179783609e-14
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.56,56,0.0001,False,1714.5323996122934,8.191816701435819,0.5599999999999996,optimal,9.225692987442017,1714.532399612294,0.0,1714.5323996122938,8.191816701436073,0.0,0.0,0.0,False,0.5600000000000007,optimal,15.209165811538696,1714.532399612228,3.806066590923799e-14,-4.547473508864641e-13,-2.6523112131873163e-14
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.57,57,0.0001,False,1722.8798686028497,10.786165725912198,0.5699999999999996,optimal,9.47902798652649,1722.8798686028522,0.0,1722.8798686028497,10.786165725912182,0.0,0.0,0.0,False,0.5699999999999996,optimal,16.594230890274048,1722.8798686027349,6.809808313788635e-14,2.273736754432321e-13,1.3197302933698926e-14
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.58,58,0.0001,False,1739.1544568150146,13.51948077957402,0.5799999999999996,optimal,9.68655276298523,1739.154456815014,0.0,1739.1544568150148,13.519480779574092,0.0,0.0,0.0,False,0.5799999999999998,optimal,17.733241081237793,1739.1544568149948,1.0851258775686532e-14,-2.273736754432321e-13,-1.3073805753839191e-14
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.59,59,0.0001,False,1763.1645630256492,16.366129810290197,0.5900000000000002,optimal,9.62606430053711,1763.164563025652,0.0,1763.1645630256476,16.366129810290012,0.0,0.0,0.0,False,0.5899999999999996,optimal,15.80959415435791,1763.1645630256317,1.005870186849604e-14,1.5916157281026244e-12,9.027040138393884e-14
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.6,60,0.0001,False,1794.7495890430014,19.306908094277738,0.6000000000000001,optimal,9.448355436325071,1794.749589042991,5.1942180402689935e-15,1794.7495890430032,19.30690809427788,0.0,0.0,0.0,False,0.6000000000000005,optimal,16.866212129592896,1794.7495890429836,1.013505959076876e-14,-1.8189894035458565e-12,-1.0135059590768765e-13
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.61,61,0.0001,False,1835.1556702522369,22.36224470911161,0.6100000000000008,optimal,9.67761754989624,1835.155670252236,0.0,1835.155670252237,22.362244709111685,0.0,0.0,0.0,False,0.610000000000001,optimal,19.227941751480103,1835.1556702521884,2.700994910138149e-14,-6.821210263296962e-13,-3.7169654726671807e-14
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.62,62,0.0001,False,1883.964854058344,25.543987653829724,0.6199999999999997,optimal,9.737870931625366,1883.9648540583448,0.0,1883.964854058396,25.543987653829685,0.0,0.0,0.0,False,0.6199999999999997,optimal,19.23514080047608,1883.9648540583748,1.1827513738080619e-14,-5.2295945351943374e-11,-2.775845060978183e-12
